,Acceptance,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,bathrooms,rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,url,Accessibility,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic_contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Sun terrace,Type of garage,Other space inside the building,Garden location,Capacity,Back_garden,Construction period,city,bedroom,toilet,price_contribution
2066,Available in consultation,350000,2574,,Resale,,,TV via cable,,District heating,District heating,Completely insulated,,7 ,136,Alongside a quiet road,,5  ,1,,,Sold under reservation,,,439,2010,https://www.funda.nl/en/koop/den-haag/appartement-88044433-graskopstraat-13/?navigateSource=resultlist,,Yes,,Yes,,12,2 ,Yes,Yes ,A ,Yes,Yes,Storage box,Galleried apartment (apartment), 190.08  ,,,,,,,,,,haag,4 ,, 190.08 
2067,Available in consultation,425000,4670,,Resale,A  ,14,Electricity,,"Geothermal heating, district heating, complete floor heating and heat recovery unit",Geothermal heating,"Triple glazed, energy efficient window and completely insulated",,6 ,91,In residential district,1  ,3  ,1,,,Sold under reservation,"Paid parking, public parking and parking garage",Flat  covered with asphalt ing,303,2020,https://www.funda.nl/en/koop/den-haag/appartement-88051088-escamplaan-880-s/?navigateSource=resultlist,Disabled access friendly and accessible for seniors,Yes,Balcony ,Yes,,19,3 ,Yes,Yes ,,Yes,Yes,Built-in,Mezzanine (apartment), 144.94  ,Energie Prestatie Advies,,,Underground parking,,,,,,haag,2 , 1 , 144.94 
2068,Available in consultation,535000,4023,Bath and shower,Resale,C  ,10,"Outdoor awning, mechanical ventilation and TV via cable",,CH boiler,CH boiler,"Roof insulation, double glazing, insulated walls and floor insulation",,0,133,"On the edge of a forest, alongside a quiet road, in residential district and unobstructed surrounding view",2  ,6  ,1,,Double occupancy possible,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,400,1988,https://www.funda.nl/en/koop/den-haag/appartement-42627103-cornelis-houtmanstraat-15-a/?navigateSource=resultlist,,Yes,Balcony ,Yes,"Gas-fired combination boiler, in ownership",12,2 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 220.00  ,,,,,,,,,,haag,4 , 1 , 220.00 
2069,Available in consultation,340000,3009,,Resale,C  ,7,,,CH boiler,CH boiler,"Roof insulation, double glazing and insulated walls",,7 ,113,Alongside busy road,1  ,4  ,1,,,Available,Parking garage and resident's parking permits,Flat ,340,2001,https://www.funda.nl/en/koop/den-haag/appartement-42685391-hobbemastraat-315/?navigateSource=resultlist,Disabled access friendly,Yes,Balcony ,Yes,"Remeha Avanta (gas-fired combination boiler from 2011, in ownership)",12,4 ,No,Yes,,Yes,Yes,Built-in,Upstairs apartment,,,,,Underground parking,,,,,,haag,3 , 1 ,
2070,Available in consultation,425000,2951,,Resale,D  ,22,Electricity,Back garden,CH boiler and fireplace,,"Roof insulation, double glazing and floor insulation","Single-family home, row house",6 ,144,In residential district and unobstructed surrounding view,1  ,6  ,2,,Partly furnished with carpets and curtains,Available,Public parking,Gable  covered with  tiles,588,1928,https://www.funda.nl/en/koop/den-haag/huis-42683556-ockenburghstraat-112/?navigateSource=resultlist,,,Roof terrace ,,"AWB (gas-fired combination boiler from 2013, in ownership)",,,,,,,,Attached brick storage,,,,,,,16 , east ,,42  ,,haag,5 , 2 ,
2071,Available immediately,500000,4274,Bath and toilet,Resale,C  ,9,,Sun terrace,CH boiler,CH boiler,Double glazing,,3 ,117,Alongside a quiet road and in residential district,1  ,5  ,2,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,Combination  covered with asphalt ing,409,,https://www.funda.nl/en/koop/den-haag/appartement-42522099-copernicusstraat-187-a/?navigateSource=resultlist,,No,Roof terrace  and balcony ,Yes,"Intergas (gas-fired combination boiler, in ownership)",,3 ,No,No,,Yes,No,,Maisonnette (double upstairs apartment),,,,"5 m² (1,35 meter deep and 3,7 meter broad)",,, northwest,,,1906-1930,haag,3 , 1 ,
2072,Available in consultation,619000,4518,"Bath, shower and toilet",Resale,B  ,14,,Back garden and sun terrace,CH boiler,CH boiler,Roof insulation and double glazing,"Single-family home, row house",4 ,137,"Alongside a quiet road, alongside water and in center",1  ,6  ,4,75,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,450,1995,https://www.funda.nl/en/koop/den-haag/huis-42583083-boomsluiterskade-59/?navigateSource=resultlist,,,Roof terrace  and balcony ,,"Remeha Calenta 28C CW4 ( combination boiler from 2010, in ownership)",,,,,,,,,,,,,,,, southeast,,27  ,,haag,3 , 1 ,
2073,Available in consultation,850000,5519,"Bath, shower and toilet",Resale,A+  ,15,Elevator,,CH boiler,CH boiler,Completely insulated,,3 ,154,In residential district and unobstructed surrounding view,1  ,3  ,1,,,Available,,,485,2010,https://www.funda.nl/en/koop/den-haag/appartement-42537694-hellingweg-66-a/?navigateSource=resultlist,,Yes,Balcony ,Yes,Remeha Avanta,,3 ,Yes,Yes,,Yes,Yes,,Upstairs apartment (apartment),,,,,Underground parking,,,,,,haag,2 , 1 ,
2074,Available in consultation,950000,7037,Bath,New,,9,Electricity and heating,Sun terrace,"Complete floor heating, heat recovery unit and heat pump",CH boiler,Energy efficient window and completely insulated,,6+ ,135,,1  ,5  ,2,,,Available,Parking on gated property and parking on private property,,537,2022,https://www.funda.nl/en/koop/den-haag/appartement-42431199-balistraat-104/?navigateSource=resultlist,,Yes,,Yes,,5,1 ,Yes,Yes,A ,Yes,Yes,Built-in,Maisonnette,,,,,Parking place,54 ,,,,,haag,2 , 2 ,
2075,Available in consultation,330000,3793,Shower,Resale,A  ,,Mechanical ventilation and sliding door,Back garden,CH boiler and partial floor heating,CH boiler,Energy efficient window,,5 ,87,,1  ,4  ,2,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,306,2017,https://www.funda.nl/en/koop/den-haag/appartement-42691251-van-dijckstraat-116/?navigateSource=resultlist,,Yes,,Yes,"Gas-fired combination boiler, in ownership",6,1 ,No,Yes,,Yes,Yes,Detached wooden storage,Double ground-floor apartment (apartment),,,,,,, northeast ,,10  ,,haag,3 , 1 ,
2076,Available in consultation,895000,4786,2 baths and 2 toilets,Resale,D  ,18,"Skylight, mechanical ventilation, flue and TV via cable",,CH boiler,CH boiler,"Roof insulation, partly double glazed and insulated walls",,3 ,187,In wooded surroundings and in residential district,2  ,6  ,3,,With carpets and curtains,Available,Resident's parking permits,Gable  covered with  tiles,703,1879,https://www.funda.nl/en/koop/den-haag/appartement-88072265-bankastraat-93/?navigateSource=resultlist,,No,Roof terrace ,No,"Gas-fired combination boiler, in ownership",,1 ,No,No,,No,No,,Upstairs apartment (double upstairs apartment),,,,,,,,,,,haag,5 , 1 ,
2077,Available in consultation,449000,3592,,Resale,A  ,36,Mechanical ventilation,Back garden and front garden,CH boiler,CH boiler,Double glazing and completely insulated,"Single-family home, row house",5 ,125,,1 ,5  ,3,109,With carpets and curtains,Sold under reservation,Paid parking and parking garage,Flat  covered with asphalt ing,420,2005,https://www.funda.nl/en/koop/den-haag/huis-88056420-olststraat-12/?navigateSource=resultlist,,,Roof terrace ,,"Vaillant Eco Tec plus (gas-fired from 2018, in ownership)",,,,,,,,,,,Energie Prestatie Advies,,,,,,,,,haag,4 ,,
2078,Available in consultation,375000,3099,,Resale,,2,,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing and floor insulation","Single-family home, row house",0,121,Alongside a quiet road,1 ,5  ,3,98,,Available,,Gable  covered with  tiles,422,1932,https://www.funda.nl/en/koop/den-haag/huis-88082263-haverschmidtstraat-93/?navigateSource=resultlist,,,,,"Gas-fired combination boiler, in ownership",5,,,,F ,,,,,,,,,,, southwest,,31  ,,haag,4 ,,
2079,Available in consultation,495000,4714,Toilet,Resale,C  ,,TV via cable,Back garden,CH boiler,CH boiler,Double glazing,,0,105,In residential district,1 ,3  ,1,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,,445,1900,https://www.funda.nl/en/koop/den-haag/appartement-42635241-stadhouderslaan-24/?navigateSource=resultlist,,Yes,,Yes,"Intergas (gas-fired combination boiler from 2019, in ownership)",7,Grou ,No,Yes ,,Yes,Yes,Attached wooden storage,Ground-floor apartment (apartment), 82.00  ,,,,,15 , southwest,,49  ,,haag,1 ,, 82.00 
2080,Available in consultation,450000,4500,,Resale,B  ,15,Mechanical ventilation,Back garden,CH boiler,CH boiler,Double glazing and completely insulated,"Single-family home, row house",2 ,100,,1 ,5  ,3,96,,Available,"Paid parking, parking on gated property, public parking and parking garage",Flat  covered with asphalt ing,332,1996,https://www.funda.nl/en/koop/den-haag/huis-88077268-cilliersstraat-38/?navigateSource=resultlist,,,Roof terrace ,,Gas-fired combination boiler,6,,,,,,,,,,Energie Prestatie Advies,,,Parking place,13 ,,,"0,01 meter deep and 0,01 meter broad",,haag,4 ,,
2081,Available in consultation,225000,3125,,Resale,D  ,5,TV via cable,,CH boiler,CH boiler,Double glazing,,0,72,Alongside a quiet road and in residential district,1  ,4  ,1,,Partly furnished with carpets and curtains,Available,"Paid parking, parking on gated property, public parking and resident's parking permits",Flat ,212,1960,https://www.funda.nl/en/koop/den-haag/appartement-88092765-otterrade-68/?navigateSource=resultlist,,Yes,,Yes,"Remeha Tzerra HR (gas-fired combination boiler from 2018, in ownership)",7,4 ,Yes,Yes ,,Yes,Yes,Storage box,Galleried apartment (apartment), 146.88  ,,,,,,,,,,haag,3 , 1 , 146.88 
2082,Available immediately,595000,5667,Shower and toilet,Resale,A+  ,26,Mechanical ventilation,Back garden,Heat pump,,"Double glazing, insulated walls and floor insulation",,3 ,105,Alongside a quiet road and in residential district,1  ,3  ,1,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and public parking,,300,1896,https://www.funda.nl/en/koop/den-haag/appartement-42602981-obrechtstraat-187/?navigateSource=resultlist,,Yes,,Yes,,,Grou ,Yes,Yes ,,Yes,Yes,,Ground-floor apartment (apartment), 40.00  ,,,,,, north,,25  ,,haag,2 , 1 , 40.00 
2083,Available in consultation,650000,4577,"Bath, 2 showers and 2 toilets",Resale,D  ,,Mechanical ventilation and sliding door,,Communal central heating,Central facility,Double glazing,,8 ,142,Seaview,2 ,4  ,1,,Protected townscape or village view (permit needed for alterations),Available,Paid parking and resident's parking permits,Flat ,452,1979,https://www.funda.nl/en/koop/den-haag/appartement-42674598-seinpostduin-106/?navigateSource=resultlist,,Yes,Balcony ,Yes,,20,2 ,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 521.06  ,,,,Underground parking and parking place,,,,,,haag,3 ,, 521.06 
2084,Available in consultation,2395000,9038,"2 baths, 3 showers and 2 toilets",Resale,,27,,,,,Double glazing and completely insulated,,2 ,265,,3  ,8  ,2,,,Available,Parking garage,,847,2012,https://www.funda.nl/en/koop/den-haag/appartement-88039214-anna-van-buerenplein-280/?navigateSource=resultlist,,No,Balcony ,No,,8,,No,No,A ,No,No,Built-in,Penthouse (apartment),,,,,,,,,,,haag,3 , 2 ,
2085,Available in consultation,239000,3319,,Resale,,4,,,CH boiler,CH boiler,Double glazing,,5 ,72,"Alongside a quiet road, in residential district and unobstructed surrounding view",,5  ,2,,,Available,Public parking,Flat  covered with asphalt ing,245,1930,https://www.funda.nl/en/koop/den-haag/appartement-88057796-capadosestraat-112/?navigateSource=resultlist,,No,,Yes,"Bosch (gas-fired from 2009, in ownership)",,3 ,No,Yes ,G ,Yes,No,,Upstairs apartment (apartment), 50.00  ,Energie Prestatie Advies,,,,,,,,,haag,3 ,, 50.00 
2086,Available in consultation,459000,3923,Bath and shower,Resale,A  ,7,Elevator and mechanical ventilation,,CH boiler,CH boiler,Double glazing,,0,117,"Alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",1  ,3  ,1,,,Available,Parking on private property and public parking,Flat  covered with asphalt ing,355,2000,https://www.funda.nl/en/koop/den-haag/appartement-42638191-ijseendplein-24/?navigateSource=resultlist,,Yes,Balcony ,Yes,"Intergas HR eco (gas-fired combination boiler from 2014, in ownership)",8,3 ,Yes,Yes ,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment), 211.00  ,,,,Parking place,,,,,,haag,2 , 1 , 211.00 
2087,Available in consultation,250000,2874,Shower,Resale,E  ,6,Passive ventilation system and TV via cable,,CH boiler,CH boiler,Partly double glazed,,6 ,87,Alongside a quiet road and in residential district,1  ,3  ,1,,,Sold under reservation,,Flat  covered with asphalt ing,294,1939,https://www.funda.nl/en/koop/den-haag/appartement-42682291-vreeswijkstraat-232/,,No,Balcony ,Yes,"Remeha Avanta HR (gas-fired combination boiler from 2012, in ownership)",,2 ,No,Yes ,,Yes,No,,Upstairs apartment (apartment with open entrance to street), 50.00  ,,,,,,,,,,haag,2 , 1 , 50.00 
2088,Available in consultation,995000,6378,Toilet,Resale,A  ,16,Elevator,Sun terrace,"CH boiler, complete floor heating and heat recovery unit",CH boiler,Completely insulated,,0,156,Alongside busy road and in residential district,2  ,4  ,1,,Protected townscape or village view (permit needed for alterations),Available,"Paid parking, parking on private property and resident's parking permits",Flat  covered with asphalt ing,583,1933,https://www.funda.nl/en/koop/den-haag/appartement-42624818-van-alkemadelaan-2-b/?navigateSource=resultlist,,Yes,Roof terrace  and balcony ,Yes,Intergas Xtreme (2019),21,,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 270.35  ,,,"16 m² (2,41 meter deep and 6,55 meter broad)",Parking place,, southwest,,,,haag,3 , 1 , 270.35 
2089,Available in consultation,1290000,5265,Bath,Resale,F  ,4,,Back garden and front garden,CH boiler and fireplace,CH boiler,,"Desirable residence/villa, row house",7 ,245,"Alongside a quiet road, in residential district and unobstructed surrounding view",1  ,8  ,3,356,,Available,Public parking and resident's parking permits,,1026,1929,https://www.funda.nl/en/koop/den-haag/huis-42687997-waalsdorperweg-82/?navigateSource=resultlist,,,Balcony ,,Combination boiler,,,,,,,,,,,,,,,41 , northwest,,222  ,,haag,6 , 3 ,
2090,Available in consultation,389000,3163,Shower and toilet,Resale,A  ,33,Electricity,,CH boiler,CH boiler,No insulation,,0,123,Alongside park and in residential district,1  ,5  ,2,,,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,401,1980,https://www.funda.nl/en/koop/den-haag/appartement-42628060-escamplaan-1037/?navigateSource=resultlist,,Yes,Balcony ,Yes,"Remeha Tzerra (gas-fired combination boiler from 2013, in ownership)",5,2 ,Yes,Yes ,,Yes,Yes,Built-in,Galleried apartment (open shared street entrancet), 161.01  ,,,,,7 ,,,,,haag,4 , 1 , 161.01 
2091,Available in consultation,375000,4412,Shower and toilet,Resale,,,Passive ventilation system and flue,,CH boiler,CH boiler,Double glazing,,3 ,85,Alongside a quiet road and in residential district,1 ,3  ,1,,Protected townscape or village view (permit needed for alterations) and partly furnished with carpets and curtains,Sold under reservation,Paid parking and resident's parking permits,Flat  covered with asphalt ing,326,1952,https://www.funda.nl/en/koop/den-haag/appartement-42542227-lubeckstraat-14/?navigateSource=resultlist,Accessible for seniors,Yes,,Yes,"Vaillant (gas-fired combination boiler from 1994, in ownership)",3,Grou ,Yes,Yes ,E ,Yes,Yes,Storage box,Ground-floor apartment (apartment), 150.00  ,,,,,1 ,,,,,haag,2 ,, 150.00 
2092,Available in consultation,,3462,Shower and toilet,Resale,,40,,Back garden,,,Partly double glazed,,0,91,In residential district,1 ,5  ,1,,,Available,Paid parking,,275,1910,https://www.funda.nl/en/koop/den-haag/appartement-42639089-copernicusstraat-270/?navigateSource=resultlist,,No,,No,,3,Grou ,No,No,G ,No,No,Attached brick storage,Ground-floor apartment,,,,,,,,,,,haag,2 ,,
2093,Available in consultation,275000,3767,Shower,Resale,D  ,7,Flue,,CH boiler,CH boiler,,,0,73,,1  ,4  ,1,,,Available,Public parking,Flat ,245,1926,https://www.funda.nl/en/koop/den-haag/appartement-42635205-klimopstraat-232/?navigateSource=resultlist,,Yes,Balcony ,Yes,"Intergas HR (gas-fired combination boiler from 2014, in ownership)",,3 ,No,Yes ,,Yes,Yes,,Residential property with shared street entrance (apartment with open entrance to street), 90.00  ,,,,,,,,,,haag,2 , 1 , 90.00 
2094,Available in consultation,675000,4963,Bath,Resale,B  ,,Flue and TV via cable,Back garden,CH boiler,CH boiler,Double glazing,,3 ,136,,1  ,5  ,1,,,Sold under reservation,Public parking,Gable  covered with  tiles,533,1935,https://www.funda.nl/en/koop/den-haag/appartement-42543872-aronskelkweg-90/?navigateSource=resultlist,,Yes,,Yes,"Remeha avanta (gas-fired combination boiler from 2015, in ownership)",4,Grou ,Yes,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 75.00  ,,,,Not yet present but possible,, southeast,,168  ,,haag,3 , 1 , 75.00 
2095,Available in consultation,521500,4419,Bath and toilet,Resale,A  ,,"Smart home, mechanical ventilation and solar panels",Back garden and front garden,CH boiler,CH boiler,Double glazing,"Single-family home, row house",0,118,Alongside a quiet road and in residential district,1  ,5  ,3,146,,Available,Public parking,Mansard ,415,2005,https://www.funda.nl/en/koop/den-haag/huis-42626628-hans-larivelaan-52/?navigateSource=resultlist,,,,,"Vaillant EcoTec Pure (gas-fired from 2019, in ownership)",9,,,,,,,Detached wooden storage,,,,,,,, southwest ,,59  ,,haag,4 , 1 ,
2096,Available in consultation,425000,5183,Bath,Resale,,,"Electricity, heating and running water",Back garden,CH boiler,CH boiler,Roof insulation,,0,82,Alongside a quiet road and in residential district,1  ,5  ,1,,,Available,"Paid parking, public parking and resident's parking permits",Flat  covered with asphalt ing,268,1929,https://www.funda.nl/en/koop/den-haag/appartement-88090327-vlierboomstraat-333/?navigateSource=resultlist,,Yes,,Yes,"Intergas (gas-fired combination boiler from 2000, in ownership)",11,Grou ,Yes,Yes ,G ,Yes,Yes,Detached brick storage,Ground-floor apartment, 75.00  ,,,,,, northwest,,87  ,,haag,3 , 1 , 75.00 
2097,Available in consultation,165000,3587,Shower,Resale,G  ,4,TV via cable,,CH boiler,CH boiler,Partly double glazed and insulated walls,,6 ,46,Alongside a quiet road,1  ,2  ,1,,,Sold under reservation,Public parking,Flat  covered with asphalt ing,150,1955,https://www.funda.nl/en/koop/den-haag/appartement-88048082-steenwijklaan-344/?navigateSource=resultlist,,Yes,Balcony ,Yes,"Gas-fired combination boiler from 2018, in ownership",8,1 ,Yes,Yes ,,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 67.00  ,,,,,,,,,,haag,1 , 1 , 67.00 
2098,Available in consultation,720000,5070,"Bath, 2 showers and toilet",Resale,B  ,12,Outdoor awning and elevator,,CH boiler,CH boiler,Double glazing,,3 ,142,"On the edge of a forest, alongside park, alongside a quiet road, in residential district and unobstructed surrounding view",2  ,4  ,1,,,Available,Public parking,,498,1970,https://www.funda.nl/en/koop/den-haag/appartement-42617328-ruychrocklaan-458/?navigateSource=resultlist,,Yes,Balcony ,Yes,Combination boiler,20,2 ,Yes,Yes,,Yes,Yes,Built-in,Apartment with shared street entrance (apartment),,,,,,,,,,,haag,2 , 1 ,
2099,Available in consultation,1295000,6852,Bath and toilet,Resale,,18,Mechanical ventilation,Back garden and sun terrace,"CH boiler, complete floor heating and heat recovery unit",CH boiler,,,5 ,189,Sheltered location and in center,1  ,3  ,2,,,Available,Paid parking and public parking,Combination  covered with asphalt ing and  tiles,721,1647,https://www.funda.nl/en/koop/den-haag/appartement-42441683-herengracht-17-f/?navigateSource=resultlist,,Yes,Roof terrace ,Yes,"Remeha (gas-fired combination boiler from 2019, in ownership)",4,Grou ,Yes,Yes ,,Yes,Yes,Storage box,Ground-floor apartment (apartment), 517.90  ,,,"17 m² (2,55 meter deep and 6,84 meter broad)",,2 , south,,,,haag,2 , 1 , 517.90 
2101,Available immediately,700000,4430,Bath and toilet,Resale,E  ,45,,,CH boiler,CH boiler,,,2 ,158,,1  ,7  ,2,,Protected townscape or village view (permit needed for alterations),Under offer,Paid parking and resident's parking permits,Combination  covered with asphalt ing and other,605,1915,https://www.funda.nl/en/koop/den-haag/appartement-42612781-rotterdamsestraat-4-a/?navigateSource=resultlist,,Yes,Balcony ,Yes,"Combination boiler, in ownership",,,No,Yes ,,Yes,Yes,,Upstairs apartment (double upstairs apartment with open entrance to street), 192.00  ,,,,,,,,,,haag,4 , 2 , 192.00 
2102,Available in consultation,1050000,5303,Bath and toilet,Resale,C  ,13,Mechanical ventilation and TV via cable,Back garden and front garden,CH boiler,CH boiler,"Roof insulation, double glazing, energy efficient window and floor insulation","Desirable residence/villa, row house",0,198,Alongside a quiet road and in residential district,2  ,8  ,3,188,Protected townscape or village view (permit needed for alterations),Available,"Paid parking, public parking and resident's parking permits",Combination  covered with asphalt ing and other,749,1900,https://www.funda.nl/en/koop/den-haag/huis-88086217-galileistraat-10/?navigateSource=resultlist,,,Roof terrace  and balcony ,,"Gas-fired combination boiler from 2011, in ownership",4,,,,,,,Detached wooden storage,,,,,,,8 , southeast,,98  ,,haag,6 , 2 ,
2103,Available in consultation,599000,3309,,Resale,G  ,,,,Gas heaters,Gas water heater,No insulation,,4 ,181,Alongside a quiet road and in residential district,1  ,5  ,3,,Protected townscape or village view (permit needed for alterations) and renovation project,Available,Paid parking and resident's parking permits,Hipped  covered with  tiles,695,1890,https://www.funda.nl/en/koop/den-haag/appartement-42606406-prinses-mariestraat-17/?navigateSource=resultlist,,No,,No,,,2 ,No,No,,Yes,Yes,,Upstairs apartment (double upstairs apartment),,,,,,,,,,,haag,4 , 2 ,
2104,Available in consultation,700000,5691,,Resale,,27,Electricity,,Communal central heating,CH boiler,,,7 ,123,"Alongside park, sheltered location, In wooded surroundings and unobstructed surrounding view",1 ,3  ,1,,Monumental building,Sold under reservation,Paid parking and resident's parking permits,,401,1939,https://www.funda.nl/en/koop/den-haag/appartement-42680968-badhuisweg-145/?navigateSource=resultlist,,No,,No,,7,Grou ,No,No,G ,No,No,Built-in,Ground-floor apartment (apartment), 366.17  ,,,,Built-in,,,1 car,,,haag,2 ,,
2105,Available in consultation,205000,4020,Bath and toilet,Resale,E  ,4,Elevator,,Communal central heating,Electrical boiler (rental),Energy efficient window,,2 ,51,Alongside a quiet road and unobstructed surrounding view,1 ,2  ,1,,,Sold under reservation,Public parking,Flat ,170,1964,https://www.funda.nl/en/koop/den-haag/appartement-42614625-willem-pijperstraat-38/?navigateSource=resultlist,Disabled access friendly and accessible for seniors,Yes,Balcony ,Yes,,7,3 ,Yes,Yes ,,Yes,Yes,Storage box,Galleried apartment (apartment), 114.00  ,,,,,,,,,,haag,1 ,, 114.00 
2106,Available in consultation,537500,3402,"Bath, shower and toilet",Resale,A+  ,2,TV via cable,Back garden and front garden,District heating,District heating,"Roof insulation, double glazing, insulated walls and floor insulation","Single-family home, row house (split-level residence)",0,158,"Alongside a quiet road, in residential district, freestanding location and unobstructed surrounding view",1  ,7  ,3,164,,Available,Public parking,Shed  covered with  tiles,576,2001,https://www.funda.nl/en/koop/den-haag/huis-42623744-nootdorpse-landingslaan-258/?navigateSource=resultlist,,,,,,12,,,,,,,Detached wooden storage,,,,,,,, northwest ,,84  ,,haag,4 , 1 ,
2108,Available in consultation,275000,3438,Bath and shower,Resale,G  ,4,TV via cable,,CH boiler,CH boiler,,,2 ,80,In residential district,1 ,3  ,1,,,Sold under reservation,Public parking,Flat ,266,1934,https://www.funda.nl/en/koop/den-haag/appartement-42673652-tramstraat-32/?navigateSource=resultlist,,No,Balcony ,No,"Remeha Avanta (gas-fired from 2020, in ownership)",,2 ,Yes,No,,No,No,,Residential property with shared street entrance (apartment), 25.00  ,,,,,1 ,,,,,haag,2 ,,
2110,Available in consultation,535000,7643,Shower,Resale,,,Mechanical ventilation and passive ventilation system,,CH boiler,CH boiler,"Roof insulation, double glazing, mostly double glazed, energy efficient window, insulated walls and completely insulated",,4 ,70,In center,1 ,3  ,1,,With carpets and curtains,Sold under reservation,Resident's parking permits,Flat  covered with asphalt ing,215,1925,https://www.funda.nl/en/koop/den-haag/appartement-88061107-scheveningseweg-11-b/?navigateSource=resultlist,,Yes,Roof terrace  and balcony ,Yes,"Gas-fired, in ownership",,3 ,Yes,Yes ,,Yes,Yes,,Upstairs apartment (apartment), 65.00  ,,,,,,,,,,haag,2 ,, 65.00 
2111,Available in consultation,275000,3354,Bath and toilet,Resale,B  ,23,Electricity,Sun terrace,CH boiler,CH boiler,Double glazing and energy efficient window,,4 ,82,In residential district,1  ,3  ,2,,,Sold under reservation,Public parking,Combination ,251,1981,https://www.funda.nl/en/koop/den-haag/appartement-42606662-jules-massenetstraat-254/?navigateSource=resultlist,,Yes,Roof terrace ,Yes,"Remeha Tzerra (gas-fired combination boiler, in ownership)",8,3 ,Yes,Yes ,,Yes,Yes,Detached brick storage,Maisonnette, 111.93  ,,,"20 m² (5,04 meter deep and 4,02 meter broad)",,, west,,,,haag,2 , 1 , 111.93 
2112,Available immediately,239000,3187,Shower,Resale,G  ,4,Passive ventilation system,,Gas heaters,,No insulation,,0,75,,1  ,4  ,1,,,Available,Resident's parking permits,Gable  covered with  tiles,244,1934,https://www.funda.nl/en/koop/den-haag/appartement-42627520-vleerstraat-52/?navigateSource=resultlist,,Yes,Balcony ,No,,3,,No,Yes ,,No,No,Detached brick storage,Apartment with shared street entrance, 65.00  ,,,,,1 ,,,,,haag,2 , 1 , 65.00 
2113,Available immediately,275000,3090,Shower,Resale,C  ,,,Back garden and front garden,CH boiler,CH boiler,Double glazing,,6 ,89,"Alongside busy road, alongside water and in residential district",1  ,4  ,1,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",Gable  covered with  tiles,306,1938,https://www.funda.nl/en/koop/den-haag/appartement-42697170-soestdijksekade-579/?navigateSource=resultlist,,Yes,,Yes,"Remeha Tzerra HR (gas-fired combination boiler, in ownership)",4,Grou ,No,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 75.00  ,,,,,, south ,,66  ,,haag,3 , 1 , 75.00 
2114,Available in consultation,539000,3850,"Bath, shower and toilet",Resale,A  ,19,Electricity,"Back garden, front garden and sun terrace",CH boiler,CH boiler,Completely insulated,"Single-family home, row house",7 ,140,In residential district,1  ,5  ,3,132,,Sold under reservation,Public parking,Flat  covered with asphalt ing,455,2001,https://www.funda.nl/en/koop/den-haag/huis-42689635-judostraat-6/?navigateSource=resultlist,,,Roof terrace ,,"Remeha Avanta (gas-fired combination boiler, in ownership)",9,,,,,,,Detached brick storage,,,,,,,, southwest ,,53  ,,haag,4 , 1 ,
2115,Available in consultation,337500,3590,,Resale,C  ,,Electricity,Back garden and front garden,CH boiler,CH boiler,Double glazing,,2 ,94,"In residential district, freestanding location and unobstructed surrounding view",1  ,3  ,3,,,Sold under reservation,Public parking and resident's parking permits,,327,1937,https://www.funda.nl/en/koop/den-haag/appartement-42673609-vreeswijkstraat-195/?navigateSource=toppositie,,Yes,,Yes,"Gas-fired combination boiler, in ownership",7,Grou ,Yes,Yes ,,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 61.00  ,,,,,, north,,54  ,,haag,3 , 1 , 61.00 
